,,,step,length,area,,,
ID1576029993105,1,1.58,6215,3797,775294,20000,,area
ID1576030108364,1,1.58,6248,3801,774465,20000,,
ID1576030230683,1,1.58,6213,3791,776671,20000,,
ID1576030345643,1,1.58,6200,3796,772868,20000,,
ID1576030467585,1,1.58,6269,3813,782332,20000,,
ID1576030589567,1,1.58,6232,3807,774388,20000,,
ID1576030715479,1,1.58,6259,3807,774517,20000,,
ID1576030841931,1,1.58,6249,3799,773811,20000,,
ID1576030967100,1,1.58,6247,3815,774662,20000,,
ID1576031085235,1,1.58,6259,3808,775974,20000,,
ID1576031211552,2,1.494555106,5600,3841,697153,20000,,
ID1576031300207,2,1.494555106,6044,4103,677923,20000,,
ID1576031389514,2,1.494555106,5584,3827,725295,20000,,step
ID1576031483601,2,1.494555106,5678,3865,684768,20000,,
ID1576031579268,2,1.494555106,5741,3888,723667,20000,,
ID1576031678867,2,1.494555106,5693,3821,655899,20000,,
ID1576031777835,2,1.494555106,5893,3974,666510,20000,,
ID1576031875512,2,1.494555106,5681,3857,667515,20000,,
ID1576031973323,2,1.494555106,6031,3995,688283,20000,,
ID1576032076008,2,1.494555106,5962,4051,714249,20000,,
ID1576032176978,4,1.418859749,5821,3909,674157,20000,,
ID1576032274737,4,1.418859749,6185,4133,657444,20000,,
ID1576032373809,4,1.418859749,5958,4012,707425,20000,,
ID1576032476369,4,1.418859749,6044,4067,679133,20000,,
ID1576032575084,4,1.418859749,5983,3853,647190,20000,,
ID1576032673260,4,1.418859749,5860,3863,673264,20000,,
ID1576032773903,4,1.418859749,7313,4927,709312,20000,,
ID1576032888812,4,1.418859749,5764,3839,672542,20000,,
ID1576032988837,4,1.418859749,6379,4126,690630,20000,,
ID1576033100063,4,1.418859749,5833,3897,714719,20000,,
ID1576033198489,8,1.339363102,5764,3837,643884,20000,,
ID1576033294759,8,1.339363102,5681,3839,650747,20000,,
ID1576033392598,8,1.339363102,5760,3831,684295,20000,,
ID1576033485698,8,1.339363102,6184,4161,663443,20000,,
ID1576033587729,8,1.339363102,5908,3843,692136,20000,,
ID1576033685094,8,1.339363102,5869,3924,673061,20000,,
ID1576033784483,8,1.339363102,6165,4108,641180,20000,,
ID1576033879197,8,1.339363102,6077,4131,662526,20000,,
ID1576033982983,8,1.339363102,5756,3869,644834,20000,,
ID1576034073983,8,1.339363102,6216,4119,649954,20000,,
